 *********************************************************************
             E=    -0.500 theoretical n=     1.000
 *********************************************************************
              r   wave func(r)
      0.616E+01      0.729E-03     -0.611E-03
      0.617E+01      0.722E-03     -0.605E-03
      0.618E+01      0.714E-03     -0.599E-03
      0.619E+01      0.707E-03     -0.593E-03
      0.621E+01      0.699E-03     -0.587E-03
      0.622E+01      0.692E-03     -0.581E-03
      0.623E+01      0.685E-03     -0.575E-03
      0.624E+01      0.678E-03     -0.569E-03
      0.626E+01      0.671E-03     -0.563E-03
      0.627E+01      0.663E-03     -0.558E-03
      0.628E+01      0.657E-03     -0.552E-03
      0.629E+01      0.650E-03     -0.546E-03
      0.631E+01      0.643E-03     -0.541E-03
      0.632E+01      0.636E-03     -0.535E-03
      0.633E+01      0.629E-03     -0.530E-03
      0.634E+01      0.623E-03     -0.525E-03
      0.636E+01      0.616E-03     -0.519E-03
      0.637E+01      0.610E-03     -0.514E-03
      0.638E+01      0.603E-03     -0.509E-03
      0.639E+01      0.597E-03     -0.504E-03
      0.641E+01      0.591E-03     -0.499E-03
      0.642E+01      0.585E-03     -0.494E-03
      0.643E+01      0.579E-03     -0.489E-03
      0.644E+01      0.572E-03     -0.484E-03
      0.646E+01      0.566E-03     -0.479E-03
      0.647E+01      0.560E-03     -0.474E-03
      0.648E+01      0.555E-03     -0.469E-03
      0.649E+01      0.549E-03     -0.464E-03
      0.651E+01      0.543E-03     -0.459E-03
      0.652E+01      0.537E-03     -0.455E-03
      0.653E+01      0.532E-03     -0.450E-03
      0.654E+01      0.526E-03     -0.446E-03
      0.656E+01      0.520E-03     -0.441E-03
      0.657E+01      0.515E-03     -0.437E-03
      0.658E+01      0.509E-03     -0.432E-03
      0.659E+01      0.504E-03     -0.428E-03
      0.661E+01      0.499E-03     -0.423E-03
      0.662E+01      0.493E-03     -0.419E-03
      0.663E+01      0.488E-03     -0.415E-03
      0.664E+01      0.483E-03     -0.410E-03
      0.666E+01      0.478E-03     -0.406E-03
      0.667E+01      0.473E-03     -0.402E-03
      0.668E+01      0.468E-03     -0.398E-03
      0.670E+01      0.463E-03     -0.394E-03
      0.671E+01      0.458E-03     -0.390E-03
      0.672E+01      0.453E-03     -0.386E-03
      0.673E+01      0.448E-03     -0.382E-03
      0.675E+01      0.444E-03     -0.378E-03
      0.676E+01      0.439E-03     -0.374E-03
      0.677E+01      0.434E-03     -0.370E-03
      0.678E+01      0.430E-03     -0.366E-03
      0.680E+01      0.425E-03     -0.363E-03
      0.681E+01      0.421E-03     -0.359E-03
      0.682E+01      0.416E-03     -0.355E-03
      0.683E+01      0.412E-03     -0.351E-03
      0.685E+01      0.407E-03     -0.348E-03
      0.686E+01      0.403E-03     -0.344E-03
      0.687E+01      0.399E-03     -0.341E-03
      0.688E+01      0.395E-03     -0.337E-03
      0.690E+01      0.390E-03     -0.334E-03
      0.691E+01      0.386E-03     -0.330E-03
      0.692E+01      0.382E-03     -0.327E-03
      0.693E+01      0.378E-03     -0.323E-03
      0.695E+01      0.374E-03     -0.320E-03
      0.696E+01      0.370E-03     -0.317E-03
      0.697E+01      0.366E-03     -0.314E-03
      0.698E+01      0.362E-03     -0.310E-03
      0.700E+01      0.358E-03     -0.307E-03
      0.701E+01      0.354E-03     -0.304E-03
      0.702E+01      0.351E-03     -0.301E-03
      0.703E+01      0.347E-03     -0.298E-03
      0.705E+01      0.343E-03     -0.294E-03
      0.706E+01      0.340E-03     -0.291E-03
      0.707E+01      0.336E-03     -0.288E-03
      0.708E+01      0.332E-03     -0.285E-03
      0.710E+01      0.329E-03     -0.282E-03
      0.711E+01      0.325E-03     -0.279E-03
      0.712E+01      0.322E-03     -0.277E-03
      0.713E+01      0.318E-03     -0.274E-03
      0.715E+01      0.315E-03     -0.271E-03
      0.716E+01      0.312E-03     -0.268E-03
      0.717E+01      0.308E-03     -0.265E-03
      0.718E+01      0.305E-03     -0.262E-03
